customer_id,clean_title,star_rating
21269168,Madden NFL 16,2
45765011,Command & Conquer The Ultimate Collection,5
22151364,Saints Row IV - Enter The Dominatrix,5
22151364,Double Dragon: Neon,5
38426028,Sims 4,4
8926809,Sid Meier's Civilization V,1
31525534,Build-a-lot 4: Power Source,5
22151364,Borderlands 2,5
22977584,Minecraft for PC/Mac,4
45765011,Borderlands 2,1
18646481,Brink of Consciousness: Lonely Hearts Murders - Collector's Edition,4
24955509,Nat Geo Adventure: Eco Rescue Rivers,5
22151364,Fable III,1
1049106,PES 2015 - Parent,1
15825992,Might & Magic X Legacy Deluxe Edition,3
36660728,Batman: Arkham Knight,5
33148953,Star Wars The Old Republic,5
22151364,BlazBlue: Calamity Trigger,5
674551,Destiny - Expansion Pass - PlayStation 4,5
714880,The Sims 3 Worlds Bundle,5
56008,The Elder Scrolls 3: Morrowind,5
11984583,Sid Meier's Civilization V: Brave New World,5
22151364,Saints Row IV - How the Saints Save Christmas,5
30680101,SPIDERS RPG PACK ,3
2525949,All-in-One Solitaire,1
30665883,Kitty Powers' Matchmaker,5
108200,Final Fantasy XIV: A Realm Reborn,5
51656501,Project CARS,3
40847927,Agatha Christie 4:50 from Paddington,4
9095823,Batman: Arkham Knight: A Matter Of Family,3
18631616,CivCity: Rome,5
7100361,Until Dawn  - PlayStation 4,5
11388778,King's Quest Collection,1
45124402,The Elder Scrolls Online Imperial Edition,4
373926,Don't Starve,5
14861684,Caesar III,5
22151364,Serious Sam 3: BFE,5
40846657,Dark Souls: Prepare To Die Edition,5
4763588,Sid Meiers Civilization IV: The Complete Edition,1
19212616,Cubis Gold 2,5
51688000,Sword Art Online Re: Hollow Fragment,5
39005147,I SPY Pirate Ship,1
22151364,Chivalry: Medieval Warfare,5
17746031,Final Fantasy VII,4
8500553,Company of Heroes 2,1
131582,Command and Conquer The Ultimate Collection,4
10302456,Titanfall,5
177877,Minecraft for PC/Mac,5
22151364,Castle Crashers,5
21232968,Pac-Man Championship Edition DX+,5
28034012,Trine 2: Complete Story,4
41184449,FINAL FANTASY XIV: Heavensward,5
20736756,Dragon Age Inquisition,1
33308293,Sid Meier's Civilization III: Complete,1
36076198,Ori and the Blind Forest,5
22151364,Injustice: Gods Among Us,5
47628015,BioWare Points,1
46495579,Sims 4,3
313707,Bookworm Deluxe,5
50674128,Journey to the Center of the Earth,2
10228016,IGT Slots: Day of the Dead,5
44495407,Contract with the Devil,1
3978884,Dead Nation Apocalypse Edition,5
27613248,RuneScape,5
46830388,Scrub,1
51918859,Heroes of Hellas 3: Athens,3
14748268,DC Universe Online,1
15212372,The Sims 3 Roaring Heights,3
23386773,Little Shop of Treasures,1
13426664,From Dust,2
34623255,Nancy Drew: Shadow at the Water's Edge,5
3760214,Nancy Drew: Curse of Blackmoor Manor,1
13439683,Rocket League,3
27614895,Second Life,2
2632281,Sid Meier's Civilization V,4
13198631,Midnight Club Los Angeles,4
16812968,Castle,5
15185529,Elements of Destruction,4
5134804,inFAMOUS Festival of Blood,1
27450182,Evolve,3
7283290,The Sims 4 Spa Day,5
4214643,Bejeweled 3,1
39460981,Sims 4,4
37422809,Destiny - Expansion Pass - PlayStation 4,5
